BatchId,ClientId,SampleId,ClientSampleId,Capture time (MT),Lat,Long,SiteName,PublishStatus
JVB1879,oima-semmap@waterboards.ca.gov,ZD04EMIN,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,ZBXHMEG6,,3/23/2022 11:31:38 AM,40.9035379,-124.0381746,USMR1,Public
JVB1879,oima-semmap@waterboards.ca.gov,YR08NVAS,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,YD9878I4,,6/24/2022 9:41:21 AM,40.54,124.2,MR1,Public
JVB1879,oima-semmap@waterboards.ca.gov,XFP51FGA,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,X8X8JO0K,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,WZ0PUFLO,,7/18/2022 12:40:40 PM,38.71542,-119.764397,East Fork Carson River below Markleeville,Public
JVB1879,oima-semmap@waterboards.ca.gov,WXC7M8O4,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,WNRXYA2T,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,WFF6DC8E,,7/14/2022 1:00:42 PM,40.5667,-121.1086,637ce0511,Public
JVB1879,oima-semmap@waterboards.ca.gov,VUQP5KGH,,,,,,Private
JVB1879,oima-semmap@waterboards.ca.gov,VKLBUMGJ,,,,,,Private
JVB1879,oima-semmap@waterboards.ca.gov,UYZFNZMG,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,UWRVB1AT,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,UIS3IAX1,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,UC16AH9V,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,TWCCSCP8,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,TNUIWJUF,,6/24/2022 2:15:25 AM,40.4,123.5,MRSB,Public
JVB1879,oima-semmap@waterboards.ca.gov,SI8G38VL,,7/12/2022 10:00:57 AM,37.120286292283986,-119.87709678210241,539MAD002,Public
JVB1879,oima-semmap@waterboards.ca.gov,SAJDFUP1,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,RXSFXYP1,,,,,,Private
JVB1879,oima-semmap@waterboards.ca.gov,RG43NC1C,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,Q44F55E5,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,PS8NIOB4,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,PK5T5EF0,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,PF0N7XEJ,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,P1AB4G35,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,O623C1TP,,,,,,Private
JVB1879,oima-semmap@waterboards.ca.gov,N82EV9JE,,7/13/2022 3:00:58 AM,40.3999,-121.441,518rcnapc,Public
JVB1879,oima-semmap@waterboards.ca.gov,N74KQ00A,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,MO0WBW3S,,,,,,Public
JVB1879,oima-semmap@waterboards.ca.gov,LJC4S7JF,,6/28/2022 10:15:27 AM,41.83123,-120.2992,527sed084,Public
JVB1879,oima-semmap@waterboards.ca.gov,LARZ8GFJ,,,,,,Private
JVB1879,oima-semmap@waterboards.ca.gov,L7BLD452,,6/27/2022 3:00:05 AM,41.1752,-120.206,526escamc,Public
